crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,yield_t_ha
Rice,Andaman and Nicobar Islands,NICOBARS,2000,Kharif,102.0,55.79,60.06,39.44,18.56,79.68,6.99,243.45,32.74,3.147
Banana,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,176.0,90.81,76.28,52.13,26.41,71.76,6.68,123.7,29.24,3.642
Coconut,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,18168.0,48.34,23.87,25.74,25.16,89.17,6.46,196.81,33.79,3583.223
Rice,Andaman and Nicobar Islands,NICOBARS,2001,Kharif,83.0,67.98,42.74,40.14,28.77,81.39,5.54,199.01,33.17,3.614
Coconut,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,18190.0,31.01,24.02,28.01,28.19,89.42,6.9,178.33,32.14,3542.056
Rice,Andaman and Nicobar Islands,NICOBARS,2002,Kharif,189.2,56.73,40.42,33.25,24.27,86.15,5.54,284.28,27.95,2.7
Banana,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,213.0,86.63,89.03,40.76,24.87,81.11,6.56,130.01,22.47,6.0
Coconut,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,18240.0,31.57,28.86,26.26,25.88,88.92,6.32,236.26,30.65,3700.11
Rice,Andaman and Nicobar Islands,NICOBARS,2003,Kharif,52.0,73.72,36.27,35.5,25.88,82.45,6.72,231.08,30.31,1.734
Banana,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,266.0,59.84,57.75,39.16,25.58,75.73,6.47,153.97,25.95,6.628
Coconut,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,18284.74,10.0,15.93,34.86,21.71,88.08,6.41,149.83,23.5,3750.669
Rice,Andaman and Nicobar Islands,NICOBARS,2004,Kharif,52.94,81.83,49.67,43.81,23.59,78.7,7.25,285.48,40.11,1.371
Banana,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,66.42,60.86,63.25,36.9,25.86,70.43,6.47,133.01,19.12,6.084
Coconut,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,18394.7,36.61,49.81,39.67,27.2,82.71,5.28,192.41,26.79,2847.559
Rice,Andaman and Nicobar Islands,NICOBARS,2005,Kharif,2.09,76.92,50.7,37.89,19.3,79.42,6.08,261.44,41.3,5.77
Banana,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,22.0,80.23,66.04,40.87,24.33,87.22,6.22,154.94,25.75,26.455
Coconut,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,13876.57,22.22,24.08,29.52,25.77,81.26,5.81,219.58,38.39,3749.486
Banana,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,198.0,96.97,87.95,47.7,24.47,83.47,6.52,159.29,30.04,4.929
