crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,price_per_ton,target_yield_t_ha
Rice,Andaman and Nicobar Islands,NICOBARS,2000,Kharif,102.0,55.79,60.06,39.44,18.56,79.68,6.99,243.45,32.74,22692.96,4.1
Banana,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,176.0,90.81,76.28,52.13,26.41,71.76,6.68,123.7,29.24,18000.01,23.445
Coconut,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,18168.0,48.34,23.87,25.74,25.16,89.17,6.46,196.81,33.79,70000.02,7.283
Rice,Andaman and Nicobar Islands,NICOBARS,2001,Kharif,83.0,67.98,42.74,40.14,28.77,81.39,5.54,199.01,33.17,24604.75,4.459
Coconut,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,18190.0,31.01,24.02,28.01,28.19,89.42,6.9,178.33,32.14,70000.04,6.804
Rice,Andaman and Nicobar Islands,NICOBARS,2002,Kharif,189.2,56.73,40.42,33.25,24.27,86.15,5.54,284.28,27.95,23344.73,4.11
Banana,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,213.0,86.63,89.03,40.76,24.87,81.11,6.56,130.01,22.47,18000.06,31.897
Coconut,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,18240.0,31.57,28.86,26.26,25.88,88.92,6.32,236.26,30.65,70000.07,8.897
Rice,Andaman and Nicobar Islands,NICOBARS,2003,Kharif,52.0,73.72,36.27,35.5,25.88,82.45,6.72,231.08,30.31,23666.71,2.788
Banana,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,266.0,59.84,57.75,39.16,25.58,75.73,6.47,153.97,25.95,18000.09,21.254
Coconut,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,18284.74,10.0,15.93,34.86,21.71,88.08,6.41,149.83,23.5,70000.1,8.644
Rice,Andaman and Nicobar Islands,NICOBARS,2004,Kharif,52.94,81.83,49.67,43.81,23.59,78.7,7.25,285.48,40.11,24773.53,4.637
Banana,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,66.42,60.86,63.25,36.9,25.86,70.43,6.47,133.01,19.12,18000.12,30.389
Coconut,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,18394.7,36.61,49.81,39.67,27.2,82.71,5.28,192.41,26.79,70000.13,8.559
Rice,Andaman and Nicobar Islands,NICOBARS,2005,Kharif,2.09,76.92,50.7,37.89,19.3,79.42,6.08,261.44,41.3,23954.73,4.386
Banana,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,22.0,80.23,66.04,40.87,24.33,87.22,6.22,154.94,25.75,18000.15,26.094
Coconut,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,13876.57,22.22,24.08,29.52,25.77,81.26,5.81,219.58,38.39,70000.16,8.216
Banana,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,198.0,96.97,87.95,47.7,24.47,83.47,6.52,159.29,30.04,18000.17,18.0
Coconut,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,14358.0,44.36,25.13,30.09,27.52,82.11,6.17,226.21,30.02,70000.18,7.936
Rice,Andaman and Nicobar Islands,NICOBARS,2010,Autumn,3.5,73.76,69.64,38.95,26.35,72.27,5.98,221.45,24.5,23545.53,3.524
Maize,Andaman and Nicobar Islands,NICOBARS,2010,Rabi,3.84,45.63,46.34,17.33,19.22,73.57,7.12,123.13,25.57,20000.2,3.969
Blackgram,Andaman and Nicobar Islands,NICOBARS,2010,Rabi,1.5,45.53,68.82,17.39,25.94,62.74,8.5,102.91,19.09,80594.39,0.661
Banana,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,593.0,85.49,87.88,38.39,25.51,70.2,6.21,131.41,23.18,18000.22,27.556
Coconut,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,14560.0,10.0,8.57,38.88,22.28,83.63,7.3,300.0,30.62,70000.23,9.482
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,10779.0,52.98,42.18,39.55,28.41,83.31,5.98,173.21,28.47,23388.51,4.095
Banana,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,1531.0,66.77,84.65,51.33,29.78,82.36,5.94,90.23,22.33,18000.25,27.974
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,6992.0,38.09,28.54,23.53,27.01,94.1,5.99,157.72,23.2,70000.26,10.803
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,9718.0,56.05,45.84,35.81,27.24,82.31,6.81,193.8,31.03,25468.79,2.0
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,7015.0,13.86,33.18,27.82,24.69,90.86,6.96,83.56,30.94,70000.28,8.218
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,6854.3,37.28,45.32,43.85,27.51,87.29,8.25,266.64,42.18,24341.79,3.994
Banana,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,957.57,85.57,63.88,51.22,27.79,84.0,6.08,116.33,30.44,18000.3,30.457
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,3575.0,10.0,32.96,25.92,28.91,95.82,6.47,101.55,24.04,70000.31,5.947
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,6791.0,65.43,59.19,39.87,19.15,80.09,6.85,216.78,38.75,22086.42,2.875
Maize,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,86.7,68.72,39.9,30.09,25.96,71.54,5.7,83.97,28.28,20000.33,4.056
Blackgram,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,1059.5,17.44,63.11,17.8,29.61,67.24,6.06,40.44,27.07,78729.35,0.685
Banana,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,657.0,92.95,83.58,42.28,30.95,80.88,6.5,95.42,35.62,18000.35,18.0
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,3668.0,10.0,28.83,35.62,24.75,85.52,5.53,112.97,29.43,70000.36,8.76
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,10695.8,42.83,18.69,47.24,22.94,81.94,7.35,244.23,36.25,24014.69,4.274
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,1524.0,91.28,72.3,59.07,26.65,79.78,5.89,144.0,31.36,18000.38,21.095
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,7060.0,10.0,5.0,35.7,30.42,85.97,6.05,228.0,38.14,70000.39,12.368
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,10509.37,65.2,41.38,38.63,24.82,81.16,6.58,300.0,29.04,24228.44,3.279
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,1530.0,90.84,70.75,43.53,31.02,75.83,5.5,129.62,23.12,18000.41,27.76
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,7110.0,32.38,36.23,40.79,24.48,92.44,5.86,219.35,35.24,70000.42,10.492
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,10681.98,111.06,63.53,49.9,26.96,83.37,4.96,293.4,34.94,24154.13,3.195
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,1912.1,55.74,54.6,50.23,28.38,84.36,6.4,121.31,28.9,18000.44,26.574
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,7156.7,32.5,24.66,39.24,30.58,80.57,6.03,300.0,35.54,70000.45,9.802
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,8683.38,69.78,49.34,45.77,28.98,78.61,6.2,300.0,35.94,23459.4,4.903
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,1656.8,88.69,83.62,43.01,27.67,66.65,5.26,162.54,30.04,18000.47,22.541
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,7050.45,14.93,55.21,38.95,26.33,90.41,4.97,161.44,30.87,70000.48,12.257
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,921.87,87.6,58.38,41.48,30.33,83.84,4.83,235.25,38.13,23591.3,4.642
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,483.0,112.27,68.46,53.73,32.21,75.05,5.61,128.27,27.7,18000.5,28.888
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,3483.09,15.02,38.83,31.91,27.62,79.44,5.54,215.23,29.99,70000.51,8.069
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,1595.5,56.02,59.34,52.42,27.3,78.36,6.19,300.0,34.04,24249.03,3.704
Maize,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,73.0,47.27,28.26,26.14,21.53,60.53,6.0,92.66,26.3,20000.53,4.854
Blackgram,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,34.0,44.05,62.99,24.68,27.25,62.32,6.18,89.1,15.65,82000.54,1.439
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,360.0,89.59,77.27,40.19,25.98,73.52,5.43,153.73,35.86,18000.55,27.671
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,3540.0,58.78,13.37,41.79,32.53,80.15,5.17,185.37,26.88,70000.56,11.086
Maize,Andhra Pradesh,ANANTAPUR,1997,Kharif,2800.0,29.84,66.64,25.9,30.19,58.59,6.24,153.12,27.38,20000.57,3.311
Rice,Andhra Pradesh,ANANTAPUR,1997,Kharif,35600.0,49.9,59.53,39.4,27.91,78.31,5.1,258.24,33.55,24017.97,5.66
Maize,Andhra Pradesh,ANANTAPUR,1997,Rabi,600.0,45.56,53.26,30.53,18.72,62.42,5.84,65.88,27.7,20000.59,2.641
Rice,Andhra Pradesh,ANANTAPUR,1997,Rabi,18000.0,114.12,57.43,37.22,23.3,72.23,6.72,122.28,28.19,26466.33,2.912
Maize,Andhra Pradesh,ANANTAPUR,1998,Kharif,3300.0,64.69,80.77,31.16,26.15,65.61,6.86,93.99,23.67,20000.61,6.415
Rice,Andhra Pradesh,ANANTAPUR,1998,Kharif,38300.0,96.37,48.42,48.99,29.12,78.4,6.48,300.0,32.86,22700.82,4.053
Maize,Andhra Pradesh,ANANTAPUR,1998,Rabi,300.0,53.72,52.05,26.97,14.73,47.61,6.5,78.64,10.0,20000.63,4.562
Rice,Andhra Pradesh,ANANTAPUR,1998,Rabi,26600.0,30.48,71.06,47.98,30.75,73.73,7.6,204.91,32.63,26617.56,4.464
Maize,Andhra Pradesh,ANANTAPUR,1999,Kharif,3358.0,57.69,56.18,27.36,30.88,77.39,6.2,134.15,27.88,20000.65,4.812
Rice,Andhra Pradesh,ANANTAPUR,1999,Kharif,37991.0,48.27,44.81,33.51,25.74,78.3,6.79,300.0,33.46,23539.62,3.419
Blackgram,Andhra Pradesh,ANANTAPUR,1999,Kharif,4.0,62.09,65.4,23.0,35.77,65.87,7.18,116.87,26.34,77374.71,0.93
Maize,Andhra Pradesh,ANANTAPUR,1999,Rabi,455.0,47.28,40.54,32.82,23.07,53.62,6.36,104.9,11.49,20000.68,2.911
Rice,Andhra Pradesh,ANANTAPUR,1999,Rabi,20258.0,78.25,54.87,49.23,20.65,70.96,6.34,193.15,31.23,25589.39,3.607
Maize,Andhra Pradesh,ANANTAPUR,2000,Kharif,3475.0,74.37,65.33,20.96,16.44,73.01,6.8,98.14,17.06,20000.7,6.046
Rice,Andhra Pradesh,ANANTAPUR,2000,Kharif,39905.0,99.64,60.66,44.39,23.05,79.23,6.14,177.22,38.41,27055.86,5.411
Blackgram,Andhra Pradesh,ANANTAPUR,2000,Kharif,135.0,57.5,83.62,29.22,35.8,67.0,7.56,119.96,25.09,74380.84,1.159
Maize,Andhra Pradesh,ANANTAPUR,2000,Rabi,399.0,47.21,39.14,36.01,31.79,71.22,6.66,127.14,25.05,20000.73,3.507
Rice,Andhra Pradesh,ANANTAPUR,2000,Rabi,22099.0,58.85,46.67,43.15,23.38,76.71,7.05,217.57,31.82,25909.83,4.111
Blackgram,Andhra Pradesh,ANANTAPUR,2000,Rabi,363.0,18.98,66.11,27.39,22.87,60.68,7.41,62.69,20.37,82000.75,1.337
Banana,Andhra Pradesh,ANANTAPUR,2000,Whole Year,769.0,81.31,69.43,44.58,30.72,76.32,6.76,133.6,25.71,18000.76,29.189
Coconut,Andhra Pradesh,ANANTAPUR,2000,Whole Year,908.0,21.65,29.68,37.18,28.96,84.62,6.02,169.54,27.78,70000.77,11.63
Maize,Andhra Pradesh,ANANTAPUR,2001,Kharif,2667.0,64.1,72.62,24.98,19.73,56.5,6.46,143.68,23.54,20000.78,2.846
Rice,Andhra Pradesh,ANANTAPUR,2001,Kharif,32878.0,77.09,75.18,38.06,24.89,77.73,5.48,259.65,38.97,27142.66,4.507
Blackgram,Andhra Pradesh,ANANTAPUR,2001,Kharif,487.0,26.41,92.52,30.92,31.58,65.53,8.5,127.3,20.88,82000.8,1.136
Maize,Andhra Pradesh,ANANTAPUR,2001,Rabi,447.0,44.19,71.71,29.0,22.33,58.72,6.59,87.14,13.18,20000.81,4.203
Rice,Andhra Pradesh,ANANTAPUR,2001,Rabi,38119.0,66.68,52.09,41.46,26.5,70.78,5.68,198.45,28.35,26234.36,3.65
Blackgram,Andhra Pradesh,ANANTAPUR,2001,Rabi,127.0,51.99,76.63,19.0,19.75,59.02,6.54,74.98,21.29,82000.83,1.379
Banana,Andhra Pradesh,ANANTAPUR,2001,Whole Year,1582.0,57.22,67.2,53.36,30.89,73.22,5.13,105.8,20.8,18000.84,30.15
Coconut,Andhra Pradesh,ANANTAPUR,2001,Whole Year,851.0,28.5,24.72,43.7,26.92,81.91,6.19,101.96,27.89,70000.85,11.166
Maize,Andhra Pradesh,ANANTAPUR,2002,Kharif,3541.0,42.43,76.7,28.44,19.18,65.76,5.51,104.25,25.74,20000.86,3.241
Rice,Andhra Pradesh,ANANTAPUR,2002,Kharif,29066.0,85.18,69.53,48.44,27.45,81.2,4.5,202.64,26.72,25027.37,2.884
Blackgram,Andhra Pradesh,ANANTAPUR,2002,Kharif,32.0,68.47,76.31,31.69,28.45,64.32,6.68,122.77,28.95,82000.88,0.977
Maize,Andhra Pradesh,ANANTAPUR,2002,Rabi,1288.0,71.64,38.55,30.58,27.99,62.42,6.63,106.96,24.97,20000.89,4.146
Rice,Andhra Pradesh,ANANTAPUR,2002,Rabi,10960.0,76.06,28.63,47.08,13.52,69.29,7.43,200.99,24.32,24972.59,4.213
Blackgram,Andhra Pradesh,ANANTAPUR,2002,Rabi,408.0,21.07,99.65,29.78,32.02,68.49,6.8,63.55,21.14,82000.91,0.6
Banana,Andhra Pradesh,ANANTAPUR,2002,Whole Year,19.0,72.43,96.34,51.08,28.0,75.0,5.97,131.06,21.76,18000.92,31.986
Coconut,Andhra Pradesh,ANANTAPUR,2002,Whole Year,869.0,10.0,16.08,39.0,31.24,80.6,6.4,228.39,32.93,70000.93,5.375
Grapes,Andhra Pradesh,ANANTAPUR,2002,Whole Year,111.0,19.04,109.56,168.57,40.0,79.29,6.81,97.3,26.0,30000.94,15.297
Mango,Andhra Pradesh,ANANTAPUR,2002,Whole Year,3968.0,25.05,49.31,35.62,28.55,50.58,6.53,119.35,22.69,28000.95,8.118
Orange,Andhra Pradesh,ANANTAPUR,2002,Whole Year,13767.0,17.18,16.25,25.7,14.23,80.38,5.77,123.22,28.11,25000.96,10.159
Papaya,Andhra Pradesh,ANANTAPUR,2002,Whole Year,1544.0,58.71,69.19,53.36,40.0,86.37,6.21,68.16,14.82,16000.97,25.868
Maize,Andhra Pradesh,ANANTAPUR,2003,Kharif,6246.0,90.27,56.79,25.71,29.71,63.04,6.19,164.05,22.9,20000.98,4.667
Rice,Andhra Pradesh,ANANTAPUR,2003,Kharif,17515.0,49.71,63.28,46.86,27.86,78.03,5.45,212.14,32.75,23709.55,3.723
Blackgram,Andhra Pradesh,ANANTAPUR,2003,Kharif,82.0,30.87,70.36,41.55,24.57,70.95,7.19,122.21,25.82,82001.0,0.886
Maize,Andhra Pradesh,ANANTAPUR,2003,Rabi,1212.0,86.02,48.13,36.28,21.63,54.57,6.05,84.7,27.26,20001.01,3.816
Rice,Andhra Pradesh,ANANTAPUR,2003,Rabi,10826.0,55.42,35.56,39.49,23.09,75.51,8.5,174.37,34.91,26231.34,3.013
Banana,Andhra Pradesh,ANANTAPUR,2003,Whole Year,36.0,86.06,86.78,54.57,29.13,67.24,5.7,132.6,23.52,18001.03,25.314
Coconut,Andhra Pradesh,ANANTAPUR,2003,Whole Year,839.0,28.83,25.25,44.98,32.14,88.64,6.53,218.41,37.18,70001.04,9.63
